method,method_label,n_pop,seed,fitness,feasible,wall_s,seed_ms,n_exact_eval,n_surrogate_eval,stopped_at_gen,frac_feasible_init,success
ga_gnn,GA + GNN surrogate,200,2030,29.761511,1,32.5826,0.000,1855,37455,194,0.0000,0
ga_gnn,GA + GNN surrogate,200,2031,25.016192,1,31.8870,0.000,1442,30915,164,0.0000,0
ga_gnn,GA + GNN surrogate,200,2032,31.672210,1,31.8214,0.000,1364,29738,156,0.0000,0
ga_gnn,GA + GNN surrogate,200,2033,38.128207,1,27.3020,0.000,1145,24365,125,0.0000,0
ga_gnn,GA + GNN surrogate,200,2034,20.670759,1,27.0280,0.000,1006,21210,118,0.0000,0
ga_gnn_policy,GA + GNN + policy seeding,6,2025,49.695191,1,6.2899,27.351,301,104,50,0.3333,1
ga_gnn_policy,GA + GNN + policy seeding,6,2026,49.704374,1,5.6553,34.509,361,300,117,0.3333,1
ga_gnn_policy,GA + GNN + policy seeding,6,2027,49.704374,1,4.0132,27.037,236,185,73,0.3333,1
ga_gnn_policy,GA + GNN + policy seeding,6,2028,49.704374,1,4.7846,28.684,304,246,94,0.3333,1
ga_gnn_policy,GA + GNN + policy seeding,6,2029,49.704374,1,6.6364,27.262,452,403,154,0.3333,1
ga_gnn_policy,GA + GNN + policy seeding,6,2030,49.704374,1,4.0642,29.028,235,171,65,0.3333,1
ga_gnn_policy,GA + GNN + policy seeding,6,2031,49.695191,1,6.9518,26.078,348,146,50,0.3333,1
ga_gnn_policy,GA + GNN + policy seeding,6,2032,47.761555,1,3.8163,31.705,246,179,65,0.3333,0
ga_gnn_policy,GA + GNN + policy seeding,6,2033,49.704374,1,7.6664,26.818,465,376,146,0.3333,1
ga_gnn_policy,GA + GNN + policy seeding,6,2034,49.704374,1,6.1228,30.236,413,356,133,0.3333,1
ga_gnn_policy,GA + GNN + policy seeding,10,2025,49.704374,1,5.6868,27.683,401,360,70,0.3000,1
ga_gnn_policy,GA + GNN + policy seeding,10,2026,49.704374,1,8.2912,29.281,630,580,118,0.3000,1
ga_gnn_policy,GA + GNN + policy seeding,10,2027,49.704374,1,8.4932,26.903,644,600,116,0.3000,1
ga_gnn_policy,GA + GNN + policy seeding,10,2028,49.704374,1,7.8477,30.589,590,544,106,0.3000,1
