method,method_label,point_index,wall_s,n_exact_eval,best_fitness
ga_gnn,GA + GNN surrogate,32,3.166916,264,19.548748
ga_gnn,GA + GNN surrogate,33,3.255980,272,19.548748
ga_gnn,GA + GNN surrogate,34,3.344883,280,20.028824
ga_gnn,GA + GNN surrogate,35,3.435995,288,20.028824
ga_gnn,GA + GNN surrogate,36,3.518088,296,20.164554
ga_gnn,GA + GNN surrogate,37,3.606536,304,20.269528
ga_gnn,GA + GNN surrogate,38,3.699438,312,22.065429
ga_gnn,GA + GNN surrogate,39,3.776881,319,22.065429
ga_gnn,GA + GNN surrogate,40,3.865344,327,22.065429
ga_gnn,GA + GNN surrogate,41,3.990898,335,22.316984
ga_gnn,GA + GNN surrogate,42,4.107902,343,24.183777
ga_gnn,GA + GNN surrogate,43,4.196749,351,24.183777
ga_gnn,GA + GNN surrogate,44,4.281309,359,24.183777
ga_gnn,GA + GNN surrogate,45,4.369544,367,24.183777
ga_gnn,GA + GNN surrogate,46,4.453464,375,25.945666
ga_gnn,GA + GNN surrogate,47,4.570002,383,28.017233
ga_gnn,GA + GNN surrogate,48,4.693192,391,28.017233
ga_gnn,GA + GNN surrogate,49,4.772058,399,28.017233
ga_gnn,GA + GNN surrogate,50,4.857610,407,28.017233
ga_gnn,GA + GNN surrogate,51,4.981335,415,28.308765
ga_gnn,GA + GNN surrogate,52,5.106960,423,30.051570
ga_gnn,GA + GNN surrogate,53,5.188359,431,30.616433
ga_gnn,GA + GNN surrogate,54,5.269735,439,30.651034
ga_gnn,GA + GNN surrogate,55,5.354936,447,31.160327
ga_gnn,GA + GNN surrogate,56,5.438743,455,31.160327
ga_gnn,GA + GNN surrogate,57,5.523058,463,31.160327
ga_gnn,GA + GNN surrogate,58,5.609132,471,31.160327
ga_gnn,GA + GNN surrogate,59,5.693385,479,31.160327
ga_gnn,GA + GNN surrogate,60,5.777150,487,31.344838
ga_gnn,GA + GNN surrogate,61,5.862783,495,31.344838
ga_gnn,GA + GNN surrogate,62,5.982911,503,31.705671
ga_gnn,GA + GNN surrogate,63,6.099238,511,31.817051
ga_gnn,GA + GNN surrogate,64,6.184287,519,31.826089
ga_gnn,GA + GNN surrogate,65,6.267001,527,32.152008
ga_gnn,GA + GNN surrogate,66,6.348162,535,33.934797
ga_gnn,GA + GNN surrogate,67,6.427723,543,33.934797
ga_gnn,GA + GNN surrogate,68,6.503043,551,33.934797
ga_gnn,GA + GNN surrogate,69,6.583464,559,33.934797
